 ver(f)	f	x64		00011	00670	0.9740	 3.2384 
 ver(f)	f	x64		00012	00670	0.9720	 3.2318 
 ver(f)	f	x64		00013	00670	0.9720	 3.2318 
 ver(f)	f	x64		00014	00670	0.9660	 3.2118 
 ver(c)	d	x64		00000	01470	8.4260	 2.6526 
 ver(c)	d	x64		00001	01470	8.4070	 2.6466 
 ver(c)	d	x64		00002	01470	8.5200	 2.6822 
 ver(c)	d	x64		00003	01470	8.4120	 2.6482 
 ver(c)	d	x64		00004	01470	8.4150	 2.6491 
 ver(c)	d	x64		00000	00565	0.4690	 2.6003 
 ver(c)	d	x64		00001	00565	0.4680	 2.5948 
 ver(c)	d	x64		00002	00565	0.4660	 2.5837 
 ver(c)	d	x64		00003	00565	0.4660	 2.5837 
 ver(c)	d	x64		00004	00565	0.4680	 2.5948 
 ver(c)	d	x64		00005	00565	0.4680	 2.5948 
 ver(c)	d	x64		00006	00565	0.4670	 2.5892 
 ver(c)	d	x64		00007	00565	0.4660	 2.5837 
 ver(c)	d	x64		00008	00565	0.4680	 2.5948 
 ver(c)	d	x64		00009	00565	0.4680	 2.5948 
 ver(c)	d	x64		00010	00565	0.4670	 2.5892 
 ver(c)	d	x64		00011	00565	0.4680	 2.5948 
 ver(c)	d	x64		00012	00565	0.4670	 2.5892 
 ver(c)	d	x64		00013	00565	0.4680	 2.5948 
 ver(c)	d	x64		00014	00565	0.4690	 2.6003 
 ver(c)	d	x86		00000	00565	0.4510	 2.5005 
 ver(c)	d	x86		00001	00565	0.4510	 2.5005 
 ver(c)	d	x86		00002	00565	0.4490	 2.4894 
 ver(c)	d	x86		00003	00565	0.4500	 2.4950 
 ver(c)	d	x86		00004	00565	0.4480	 2.4839 
 ver(c)	d	x86		00005	00565	0.4500	 2.4950 
 ver(c)	d	x86		00006	00565	0.4490	 2.4894 
 ver(c)	d	x86		00007	00565	0.4510	 2.5005 
 ver(c)	d	x86		00008	00565	0.4490	 2.4894 
 ver(c)	d	x86		00009	00565	0.4490	 2.4894 
 ver(c)	d	x86		00010	00565	0.4500	 2.4950 
 ver(c)	d	x86		00011	00565	0.4490	 2.4894 
 ver(c)	d	x86		00012	00565	0.4500	 2.4950 
 ver(c)	d	x86		00013	00565	0.4480	 2.4839 
 ver(c)	d	x86		00014	00565	0.4510	 2.5005 
 ver(f)	f	x64		00000	00170	0.0130	 2.6460 
 ver(f)	f	x64		00001	00170	0.0130	 2.6460 
 ver(f)	f	x64		00002	00170	0.0120	 2.4425 
 ver(f)	f	x64		00003	00170	0.0130	 2.6460 
 ver(f)	f	x64		00004	00170	0.0120	 2.4425 
 ver(f)	f	x64		00005	00170	0.0120	 2.4425 
 ver(f)	f	x64		00006	00170	0.0120	 2.4425 
 ver(f)	f	x64		00007	00170	0.0120	 2.4425 
 ver(f)	f	x64		00008	00170	0.0120	 2.4425 
 ver(f)	f	x64		00009	00170	0.0120	 2.4425 
 ver(f)	f	x64		00010	00170	0.0120	 2.4425 
 ver(f)	f	x64		00011	00170	0.0120	 2.4425 
 ver(f)	f	x64		00012	00170	0.0130	 2.6460 
 ver(f)	f	x64		00013	00170	0.0120	 2.4425 
 ver(f)	f	x64		00014	00170	0.0120	 2.4425 
 ver(e)	f	x64		00000	02050	90.5000	 10.5048 
 ver(e)	f	x64		00001	02050	88.6860	 10.2942 
 ver(e)	f	x64		00002	02050	81.3160	 9.4387 
 ver(d)	f	x64		00000	00915	1.8470	 2.4110 
 ver(d)	f	x64		00001	00915	1.8420	 2.4045 
 ver(d)	f	x64		00002	00915	1.8430	 2.4058 
 ver(d)	f	x64		00003	00915	1.8410	 2.4032 
 ver(d)	f	x64		00004	00915	1.8400	 2.4019 
 ver(d)	f	x64		00005	00915	1.8420	 2.4045 
 ver(d)	f	x64		00006	00915	1.8430	 2.4058 
 ver(d)	f	x64		00007	00915	1.8450	 2.4084 
 ver(d)	f	x64		00008	00915	1.8390	 2.4006 
 ver(d)	f	x64		00009	00915	1.8400	 2.4019 
 ver(a)	f	x86		00000	02050	22.6960	 2.6344 
