 blocks	 f	x64		00002	00780	0.9020	 1.9007 
 blocks	 f	x64		00003	00780	0.9010	 1.8986 
 blocks	 f	x64		00004	00780	0.8990	 1.8944 
 blocks	 f	x64		00005	00780	0.9000	 1.8965 
 blocks	 f	x64		00006	00780	0.9000	 1.8965 
 blocks	 f	x64		00007	00780	0.9010	 1.8986 
 blocks	 f	x64		00008	00780	0.9010	 1.8986 
 blocks	 f	x64		00009	00780	0.9000	 1.8965 
 blocks	 f	x86		00000	00170	0.0100	 2.0354 
 blocks	 f	x86		00001	00170	0.0090	 1.8319 
 blocks	 f	x86		00002	00170	0.0100	 2.0354 
 blocks	 f	x86		00003	00170	0.0090	 1.8319 
 blocks	 f	x86		00004	00170	0.0100	 2.0354 
 blocks	 f	x86		00005	00170	0.0100	 2.0354 
 blocks	 f	x86		00006	00170	0.0090	 1.8319 
 blocks	 f	x86		00007	00170	0.0090	 1.8319 
 blocks	 f	x86		00008	00170	0.0100	 2.0354 
 blocks	 f	x86		00009	00170	0.0090	 1.8319 
 blocks	 f	x86		00010	00170	0.0100	 2.0354 
 blocks	 f	x86		00011	00170	0.0090	 1.8319 
 blocks	 f	x86		00012	00170	0.0100	 2.0354 
 blocks	 f	x86		00013	00170	0.0090	 1.8319 
 blocks	 f	x86		00014	00170	0.0090	 1.8319 
 blocks	 d	x64		00000	01470	6.2540	 1.9688 
 blocks	 d	x64		00001	01470	6.2810	 1.9773 
 blocks	 d	x64		00002	01470	6.2400	 1.9644 
 blocks	 d	x64		00003	01470	6.2530	 1.9685 
 blocks	 d	x64		00004	01470	6.2010	 1.9521 
 blocks	 d	x86		00000	01470	6.0570	 1.9068 
 blocks	 d	x86		00001	01470	6.0500	 1.9046 
 blocks	 d	x86		00002	01470	6.0540	 1.9059 
 blocks	 d	x86		00003	01470	6.0900	 1.9172 
 blocks	 d	x86		00004	01470	6.0940	 1.9184 
 blocks	 f	x86		00000	01470	5.9830	 1.8835 
 blocks	 f	x86		00001	01470	5.9840	 1.8838 
 blocks	 f	x86		00002	01470	5.9830	 1.8835 
 blocks	 f	x86		00003	01470	5.9930	 1.8867 
 blocks	 f	x86		00004	01470	5.9850	 1.8841 
 blocks	 f	x86		00000	00670	0.5670	 1.8852 
 blocks	 f	x86		00001	00670	0.5700	 1.8952 
 blocks	 f	x86		00002	00670	0.5670	 1.8852 
 blocks	 f	x86		00003	00670	0.5680	 1.8885 
 blocks	 f	x86		00004	00670	0.5680	 1.8885 
 blocks	 f	x86		00005	00670	0.5660	 1.8819 
 blocks	 f	x86		00006	00670	0.5680	 1.8885 
 blocks	 f	x86		00007	00670	0.5670	 1.8852 
 blocks	 f	x86		00008	00670	0.5640	 1.8752 
 blocks	 f	x86		00009	00670	0.5660	 1.8819 
 blocks	 f	x86		00010	00670	0.5680	 1.8885 
 blocks	 f	x86		00011	00670	0.5670	 1.8852 
 blocks	 f	x86		00012	00670	0.5720	 1.9018 
 blocks	 f	x86		00013	00670	0.5690	 1.8919 
 blocks	 f	x86		00014	00670	0.5670	 1.8852 
 
