 blocks	 d	x86		00014	00670	0.8190	 2.7231 
 blocks	 f	x64		00000	00780	1.2870	 2.7120 
 blocks	 f	x64		00001	00780	1.2860	 2.7099 
 blocks	 f	x64		00002	00780	1.2900	 2.7184 
 blocks	 f	x64		00003	00780	1.2890	 2.7162 
 blocks	 f	x64		00004	00780	1.2890	 2.7162 
 blocks	 f	x64		00005	00780	1.2910	 2.7205 
 blocks	 f	x64		00006	00780	1.2900	 2.7184 
 blocks	 f	x64		00007	00780	1.2880	 2.7141 
 blocks	 f	x64		00008	00780	1.2900	 2.7184 
 blocks	 f	x64		00009	00780	1.2900	 2.7184 
 blocks	 f	x86		00000	00170	0.0140	 2.8496 
 blocks	 f	x86		00001	00170	0.0130	 2.6460 
 blocks	 f	x86		00002	00170	0.0130	 2.6460 
 blocks	 f	x86		00003	00170	0.0140	 2.8496 
 blocks	 f	x86		00004	00170	0.0140	 2.8496 
 blocks	 f	x86		00005	00170	0.0140	 2.8496 
 blocks	 f	x86		00006	00170	0.0140	 2.8496 
 blocks	 f	x86		00007	00170	0.0140	 2.8496 
 blocks	 f	x86		00008	00170	0.0140	 2.8496 
 blocks	 f	x86		00009	00170	0.0130	 2.6460 
 blocks	 f	x86		00010	00170	0.0130	 2.6460 
 blocks	 f	x86		00011	00170	0.0130	 2.6460 
 blocks	 f	x86		00012	00170	0.0130	 2.6460 
 blocks	 f	x86		00013	00170	0.0140	 2.8496 
 blocks	 f	x86		00014	00170	0.0140	 2.8496 
 blocks	 d	x64		00000	01470	8.9250	 2.8097 
 blocks	 d	x64		00001	01470	8.9370	 2.8135 
 blocks	 d	x64		00002	01470	8.9370	 2.8135 
 blocks	 d	x64		00003	01470	8.9460	 2.8163 
 blocks	 d	x64		00004	01470	8.9260	 2.8100 
 blocks	 d	x86		00000	01470	8.9130	 2.8059 
 blocks	 d	x86		00001	01470	8.9740	 2.8251 
 blocks	 d	x86		00002	01470	8.9120	 2.8056 
 blocks	 d	x86		00003	01470	8.9510	 2.8179 
 blocks	 d	x86		00004	01470	8.9030	 2.8028 
 blocks	 f	x86		00000	01470	8.6970	 2.7379 
 blocks	 f	x86		00001	01470	8.7650	 2.7593 
 blocks	 f	x86		00002	01470	8.7010	 2.7392 
 blocks	 f	x86		00003	01470	8.6810	 2.7329 
 blocks	 f	x86		00004	01470	8.6850	 2.7341 
 blocks	 f	x86		00000	00670	0.8330	 2.7696 
 blocks	 f	x86		00001	00670	0.8160	 2.7131 
 blocks	 f	x86		00002	00670	0.8150	 2.7098 
 blocks	 f	x86		00003	00670	0.8190	 2.7231 
 blocks	 f	x86		00004	00670	0.8150	 2.7098 
 blocks	 f	x86		00005	00670	0.8140	 2.7064 
 blocks	 f	x86		00006	00670	0.8150	 2.7098 
 blocks	 f	x86		00007	00670	0.8150	 2.7098 
 blocks	 f	x86		00008	00670	0.8160	 2.7131 
 blocks	 f	x86		00009	00670	0.8180	 2.7197 
 blocks	 f	x86		00010	00670	0.8150	 2.7098 
 blocks	 f	x86		00011	00670	0.8160	 2.7131 
 blocks	 f	x86		00012	00670	0.8180	 2.7197 
 blocks	 f	x86		00013	00670	0.8150	 2.7098 
 blocks	 f	x86		00014	00670	0.8170	 2.7164 
 
